FID,ID,X,Y,Country,,,ID,X,Y,,frompointx,frompointy,topointx,topointy,distancia,From node,To node
0,1,-8.87794,53.27567,Ireland,,,1,-8.87794,53.27567,,-8.87794,53.27567,-8.05,53.93496,1.058370421,1,2
1,2,-8.05,53.93496,Ireland,,,2,-8.05000,53.93496,,-8.05000,53.93496,-6.64709,53.99629,1.40425,2,15
2,3,-9.33024,52.63938,Ireland,,,3,-9.33024,52.63938,,-8.87794,53.27567,-9.33024,52.63938,0.780667,1,3
3,4,-9.56789,52.49373,Ireland,,,4,-9.56789,52.49373,,-9.33024,52.63938,-9.56254,52.72279,0.246821,3,1311
4,5,-8.5483,52.53206,Ireland,,,5,-8.54830,52.53206,,-9.33024,52.63938,-9.56789,52.49373,0.278732,3,4
5,6,-8.31831,51.98776,Ireland,,,6,-8.31831,51.98776,,-9.56789,52.49373,-8.54830,52.53206,1.020310,4,5
6,7,-6.95374,52.37873,Ireland,,,7,-6.95374,52.37873,,-8.54830,52.53206,-8.31831,51.98776,0.590896,5,6
7,8,-6.86029,52.82086,Ireland,,,8,-6.86029,52.82086,,-8.31831,51.98776,-6.95374,52.37873,1.419475,6,7
8,9,-8.03163,53.2676,Ireland,,,9,-8.03163,53.26760,,-6.95374,52.37873,-6.86029,52.82086,0.451898,7,8
9,10,-6.65871,53.18043,Ireland,,,10,-6.65871,53.18043,,-6.86029,52.82086,-7.03806,52.81571,0.177845,8,2389
10,11,-6.44079,53.5509,Ireland,,,11,-6.44079,53.55090,,-6.95374,52.37873,-6.15646,52.87703,0.940191,7,2390
11,12,-6.24466,53.47463,Ireland,,,12,-6.24466,53.47463,,-8.31831,51.98776,-8.37964,51.80377,0.193942,6,2391
12,13,-6.24466,53.32716,Ireland,,,13,-6.24466,53.32716,,-8.31831,51.98776,-8.13432,51.84210,0.234668,6,2392
13,14,-6.28824,53.19133,Ireland,,,14,-6.28824,53.19133,,-9.56789,52.49373,-8.31831,51.98776,1.348130,4,6
14,15,-6.64709,53.99629,Ireland,,,15,-6.64709,53.99629,,-8.54830,52.53206,-8.03163,53.26760,0.898870,5,9
15,16,-6.48946,53.65405,Ireland,,,16,-6.48946,53.65405,,-8.03163,53.26760,-6.59333,53.38746,1.443286,9,19
16,17,-6.60423,53.57269,Ireland,,,17,-6.60423,53.57269,,-6.86029,52.82086,-6.65871,53.18043,0.412220,8,10
17,18,-6.51997,53.47608,Ireland,,,18,-6.51997,53.47608,,-6.65871,53.18043,-6.41225,53.03880,0.284256,10,2393
18,19,-6.59333,53.38746,Ireland,,,19,-6.59333,53.38746,,-6.44079,53.55090,-6.24466,53.47463,0.210438,11,12
19,20,-6.41972,53.30319,Ireland,,,20,-6.41972,53.30319,,-6.24466,53.47463,-6.24466,53.32208,0.152550,12,2394
20,21,-6.54031,53.24726,Ireland,,,21,-6.54031,53.24726,,-6.24466,53.32716,-6.28824,53.19641,0.137822,13,2395
21,22,-7.25032,55.01279,United Kingdom,,,22,-7.25032,55.01279,,-6.28824,53.19133,-6.15646,52.87703,0.340809,14,2390
22,23,-6.54909,54.7715,United Kingdom,,,23,-6.54909,54.77150,,-6.64709,53.99629,-6.59333,53.38746,0.611199,15,19
23,24,-6.47368,54.36056,United Kingdom,,,24,-6.47368,54.36056,,-6.64709,53.99629,-6.48946,53.65405,0.376796,15,16
24,25,-5.88932,54.45481,United Kingdom,,,25,-5.88932,54.45481,,-6.48946,53.65405,-6.44079,53.55090,0.114056,16,11
25,26,-6.02127,54.78281,United Kingdom,,,26,-6.02127,54.78281,,-6.48946,53.65405,-6.60423,53.57269,0.140683,16,17
26,27,-5.8667,54.82051,United Kingdom,,,27,-5.86670,54.82051,,-6.60423,53.57269,-6.51997,53.47608,0.128192,17,18
27,28,-5.84785,54.7338,United Kingdom,,,28,-5.84785,54.73380,,-6.44079,53.55090,-6.51997,53.47608,0.108938,11,18
28,29,-5.95341,54.57546,United Kingdom,,,29,-5.95341,54.57546,,-6.51997,53.47608,-6.59333,53.38746,0.115044,18,19
29,30,-3.74421,58.55093,United Kingdom,,,30,-3.74421,58.55093,,-6.59333,53.38746,-6.41972,53.30319,0.192982,19,20
30,31,-4.27901,57.46903,United Kingdom,,,31,-4.27901,57.46903,,-6.41972,53.30319,-6.16766,53.21457,0.267185,20,2396
31,32,-4.1868,57.426,United Kingdom,,,32,-4.18680,57.42600,,-6.59333,53.38746,-6.65871,53.18043,0.217108,19,10
32,33,-3.23399,57.24158,United Kingdom,,,33,-3.23399,57.24158,,-6.59333,53.38746,-6.54031,53.24726,0.149890,19,21
33,34,-3.14793,57.45674,United Kingdom,,,34,-3.14793,57.45674,,-6.54031,53.24726,-6.65871,53.18043,0.135959,21,10
34,35,-2.64386,57.37067,United Kingdom,,,35,-2.64386,57.37067,,-6.54031,53.24726,-6.28824,53.19133,0.258200,21,14
35,36,-2.70533,56.9957,United Kingdom,,,36,-2.70533,56.99570,,-6.59333,53.38746,-6.41225,53.03880,0.392879,19,2393
36,37,-2.36109,57.17396,United Kingdom,,,37,-2.36109,57.17396,,-7.25032,55.01279,-6.54909,54.77150,0.741582,22,23
37,38,-3.2094,56.60842,United Kingdom,,,38,-3.20940,56.60842,,-6.54909,54.77150,-6.47368,54.36056,0.417802,23,24
38,39,-4.64784,55.58184,United Kingdom,,,39,-4.64784,55.58184,,-6.47368,54.36056,-6.64709,53.99629,0.403440,24,15
39,40,-4.91217,56.28262,United Kingdom,,,40,-4.91217,56.28262,,-6.47368,54.36056,-5.88932,54.45481,0.591912,24,25
40,41,-4.78923,56.22115,United Kingdom,,,41,-4.78923,56.22115,,-5.88932,54.45481,-5.72721,54.57546,0.202079,25,2397
41,42,-3.09261,56.48548,United Kingdom,,,42,-3.09261,56.48548,,-6.54909,54.77150,-6.02127,54.78281,0.527941,23,26
42,43,-2.8959,55.95068,United Kingdom,,,43,-2.89590,55.95068,,-6.02127,54.78281,-5.86670,54.82051,0.159101,26,27
43,44,-3.29546,56.15353,United Kingdom,,,44,-3.29546,56.15353,,-6.02127,54.78281,-5.84785,54.73380,0.180212,26,28
44,45,-3.37887,55.98217,United Kingdom,,,45,-3.37887,55.98217,,-5.86670,54.82051,-5.95341,54.57546,0.259939,27,29
45,46,-3.52008,56.00357,United Kingdom,,,46,-3.52008,56.00357,,-5.84785,54.73380,-5.88932,54.45481,0.282055,28,25
46,47,-3.41738,55.93082,United Kingdom,,,47,-3.41738,55.93082,,-5.95341,54.57546,-5.72721,54.57546,0.226200,29,2397
47,48,-3.15207,55.8324,United Kingdom,,,48,-3.15207,55.83240,,-3.74421,58.55093,-4.27901,57.46903,1.206863,30,31
48,49,-3.16063,55.87947,United Kingdom,,,49,-3.16063,55.87947,,-4.27901,57.46903,-4.18680,57.42600,0.101756,31,32
49,50,-3.12167,55.91607,United Kingdom,,,50,-3.12167,55.91607,,-4.18680,57.42600,-4.54334,57.12479,0.466742,32,2398
50,51,-3.06311,55.93949,United Kingdom,,,51,-3.06311,55.93949,,-4.18680,57.42600,-3.23399,57.24158,0.970493,32,33
51,52,-3.00748,55.90534,United Kingdom,,,52,-3.00748,55.90534,,-3.23399,57.24158,-3.14793,57.45674,0.231733,33,34
52,53,-2.95122,55.87076,United Kingdom,,,53,-2.95122,55.87076,,-3.14793,57.45674,-2.64386,57.37067,0.511365,34,35
53,54,-3.04945,55.8136,United Kingdom,,,54,-3.04945,55.81360,,-2.64386,57.37067,-1.82014,57.51821,0.836829,35,2399
54,55,-3.82248,55.66321,United Kingdom,,,55,-3.82248,55.66321,,-2.64386,57.37067,-2.70533,56.99570,0.379975,35,36
55,56,-3.88253,55.74223,United Kingdom,,,56,-3.88253,55.74223,,-2.70533,56.99570,-2.36109,57.17396,0.387657,36,37
56,57,-4.01212,55.80544,United Kingdom,,,57,-4.01212,55.80544,,-2.36109,57.17396,-1.82014,57.51821,0.641198,37,2399
57,58,-3.93507,55.77809,United Kingdom,,,58,-3.93507,55.77809,,-2.36109,57.17396,-2.33035,56.98955,0.186955,37,2400
58,59,-3.77683,56.02924,United Kingdom,,,59,-3.77683,56.02924,,-2.70533,56.99570,-3.20940,56.60842,0.635667,36,38
59,60,-4.57408,55.89535,United Kingdom,,,60,-4.57408,55.89535,,-2.70533,56.99570,-3.09261,56.48548,0.640555,36,42
60,61,-4.47006,55.82384,United Kingdom,,,61,-4.47006,55.82384,,-3.20940,56.60842,-3.09261,56.48548,0.169570,38,42
61,62,-4.41871,55.77249,United Kingdom,,,62,-4.41871,55.77249,,-4.64784,55.58184,-4.54949,55.55726,0.101375,39,68
62,63,-4.3374,55.72114,United Kingdom,,,63,-4.33740,55.72114,,-4.91217,56.28262,-4.78923,56.22115,0.137451,40,41
63,64,-4.44438,55.70403,United Kingdom,,,64,-4.44438,55.70403,,-4.78923,56.22115,-4.57408,55.89535,0.390429,41,60
64,65,-4.64784,55.76626,United Kingdom,,,65,-4.64784,55.76626,,-3.09261,56.48548,-3.29546,56.15353,0.389023,42,44
65,66,-4.44866,55.64412,United Kingdom,,,66,-4.44866,55.64412,,-2.89590,55.95068,-2.95122,55.87076,0.097198,43,53
66,67,-4.23021,55.66638,United Kingdom,,,67,-4.23021,55.66638,,-3.29546,56.15353,-3.37887,55.98217,0.190582,44,45
67,68,-4.54949,55.55726,United Kingdom,,,68,-4.54949,55.55726,,-3.20940,56.60842,-3.52008,56.00357,0.679975,38,46
