Time,fr,V1,V2,V3,V4,V5,C_V1,C_V2,C_V3,C_V4,C_V5,Network
0,0,2481,5464,501,51,14,0.291505111,0.641992715,0.058864998,0.005992245,0.00164493,F
1,0.010819165,1415,3612,303,33,7,0.166255434,0.424391963,0.035600987,0.003877335,0.000822465,F
2,0.020092736,1054,2885,246,29,6,0.123839737,0.338973094,0.028903772,0.003407355,0.00070497,F
3,0.030911901,824,2289,190,25,4,0.096815885,0.26894607,0.022324051,0.002937375,0.00046998,F
4,0.040185471,713,1963,143,23,1,0.08377394,0.230642698,0.016801786,0.002702385,0.000117495,F
5,0.051004637,529,1565,90,16,1,0.062154858,0.183879685,0.010574551,0.00187992,0.000117495,F
6,0.060278207,459,1435,86,15,1,0.053930208,0.168605334,0.010104571,0.001762425,0.000117495,F
7,0.071097372,398,1303,69,15,1,0.046763013,0.153095993,0.008107155,0.001762425,0.000117495,F
8,0.080370943,315,1071,55,13,1,0.037010927,0.125837152,0.006462225,0.001527435,0.000117495,F
9,0.091190108,247,867,55,10,1,0.029021267,0.101868171,0.006462225,0.00117495,0.000117495,F
10,0.100463679,203,729,43,10,1,0.023851486,0.08565386,0.005052285,0.00117495,0.000117495,F
11,0.111282844,165,617,35,9,1,0.019386676,0.072494419,0.004112325,0.001057455,0.000117495,F
12,0.120556414,134,530,23,8,1,0.015744331,0.062272353,0.002702385,0.00093996,0.000117495,F
13,0.13137558,123,485,12,6,0,0.014451886,0.056985078,0.00140994,0.00070497,0,F
14,0.14064915,108,426,12,4,0,0.012689461,0.050052873,0.00140994,0.00046998,0,F
15,0.151468315,105,413,12,4,0,0.012336976,0.048525438,0.00140994,0.00046998,0,F
16,0.160741886,88,360,12,2,0,0.010339561,0.042298202,0.00140994,0.00023499,0,F
17,0.170015456,78,325,12,2,0,0.009164611,0.038185877,0.00140994,0.00023499,0,F
18,0.180834621,62,261,12,2,0,0.00728469,0.030666197,0.00140994,0.00023499,0,F
19,0.190108192,49,218,12,2,0,0.005757255,0.025613911,0.00140994,0.00023499,0,F
20,0.200927357,38,180,12,2,0,0.00446481,0.021149101,0.00140994,0.00023499,0,F
21,0.210200927,32,159,8,1,0,0.00375984,0.018681706,0.00093996,0.000117495,0,F
22,0.221020093,27,125,2,1,0,0.003172365,0.014686876,0.00023499,0.000117495,0,F
23,0.230293663,26,121,2,1,0,0.00305487,0.014216896,0.00023499,0.000117495,0,F
24,0.241112828,24,115,2,1,0,0.00281988,0.013511926,0.00023499,0.000117495,0,F
25,0.250386399,21,111,2,1,0,0.002467395,0.013041946,0.00023499,0.000117495,0,F
26,0.261205564,20,101,2,1,0,0.0023499,0.011866996,0.00023499,0.000117495,0,F
27,0.270479134,19,97,2,1,0,0.002232405,0.011397016,0.00023499,0.000117495,0,F
28,0.2812983,18,96,2,1,0,0.00211491,0.011279521,0.00023499,0.000117495,0,F
29,0.29057187,18,94,2,1,0,0.00211491,0.011044531,0.00023499,0.000117495,0,F
30,0.301391036,15,79,2,1,0,0.001762425,0.009282106,0.00023499,0.000117495,0,F
31,0.310664606,12,66,2,1,0,0.00140994,0.00775467,0.00023499,0.000117495,0,F
32,0.321483771,12,64,2,0,0,0.00140994,0.00751968,0.00023499,0,0,F
33,0.330757342,11,57,2,0,0,0.001292445,0.006697215,0.00023499,0,0,F
34,0.340030912,11,55,2,0,0,0.001292445,0.006462225,0.00023499,0,0,F
35,0.350850077,9,44,2,0,0,0.001057455,0.00516978,0.00023499,0,0,F
36,0.360123648,8,42,2,0,0,0.00093996,0.00493479,0.00023499,0,0,F
37,0.370942813,7,34,0,0,0,0.000822465,0.00399483,0,0,0,F
38,0.380216383,6,29,0,0,0,0.00070497,0.003407355,0,0,0,F
39,0.391035549,4,27,0,0,0,0.00046998,0.003172365,0,0,0,F
40,0.400309119,3,24,0,0,0,0.000352485,0.00281988,0,0,0,F
41,0.411128284,2,22,0,0,0,0.00023499,0.00258489,0,0,0,F
42,0.420401855,0,13,0,0,0,0,0.001527435,0,0,0,F
43,0.43122102,0,8,0,0,0,0,0.00093996,0,0,0,F
44,0.44049459,0,4,0,0,0,0,0.00046998,0,0,0,F
45,0.451313756,0,3,0,0,0,0,0.000352485,0,0,0,F
46,0.460587326,0,3,0,0,0,0,0.000352485,0,0,0,F
47,0.471406491,0,3,0,0,0,0,0.000352485,0,0,0,F
48,0.480680062,0,3,0,0,0,0,0.000352485,0,0,0,F
49,0.491499227,0,3,0,0,0,0,0.000352485,0,0,0,F
50,0.500772798,0,3,0,0,0,0,0.000352485,0,0,0,F
51,0.510046368,0,3,0,0,0,0,0.000352485,0,0,0,F
52,0.520865533,0,3,0,0,0,0,0.000352485,0,0,0,F
53,0.530139104,0,3,0,0,0,0,0.000352485,0,0,0,F
54,0.540958269,0,2,0,0,0,0,0.00023499,0,0,0,F
55,0.550231839,0,2,0,0,0,0,0.00023499,0,0,0,F
56,0.561051005,0,2,0,0,0,0,0.00023499,0,0,0,F
57,0.570324575,0,1,0,0,0,0,0.000117495,0,0,0,F
58,0.58114374,0,1,0,0,0,0,0.000117495,0,0,0,F
59,0.590417311,0,1,0,0,0,0,0.000117495,0,0,0,F
60,0.601236476,0,1,0,0,0,0,0.000117495,0,0,0,F
