Time,fr,V1,V2,V3,V4,V5,C_V1,C_V2,C_V3,C_V4,C_V5,Network
0,0,513,1560,130,29,6,0.22922252,0.697050938,0.058087578,0.012957998,0.002680965,I
1,0.011811024,394,1273,87,22,4,0.176050045,0.568811439,0.038873995,0.009830206,0.00178731,I
2,0.019685039,362,1186,85,19,4,0.161751564,0.529937444,0.03798034,0.008489723,0.00178731,I
3,0.031496063,267,914,61,14,2,0.119302949,0.408400357,0.027256479,0.006255585,0.000893655,I
4,0.039370079,247,834,50,13,1,0.110366399,0.372654155,0.022341376,0.005808758,0.000446828,I
5,0.051181102,223,760,41,13,0,0.099642538,0.339588919,0.018319929,0.005808758,0,I
6,0.059055118,202,695,41,13,0,0.09025916,0.31054513,0.018319929,0.005808758,0,I
7,0.070866142,178,614,35,12,0,0.079535299,0.2743521,0.015638963,0.00536193,0,I
8,0.082677165,150,546,30,8,0,0.067024129,0.243967828,0.013404826,0.00357462,0,I
9,0.090551181,133,477,30,7,0,0.059428061,0.213136729,0.013404826,0.003127793,0,I
10,0.102362205,114,433,25,6,0,0.050938338,0.193476318,0.011170688,0.002680965,0,I
11,0.11023622,110,412,20,6,0,0.049151028,0.18409294,0.00893655,0.002680965,0,I
12,0.122047244,92,352,16,4,0,0.041108132,0.157283289,0.00714924,0.00178731,0,I
13,0.12992126,81,310,16,2,0,0.036193029,0.138516533,0.00714924,0.000893655,0,I
14,0.141732283,72,275,11,1,0,0.032171582,0.122877569,0.004915103,0.000446828,0,I
15,0.149606299,68,262,11,1,0,0.030384272,0.117068811,0.004915103,0.000446828,0,I
16,0.161417323,56,219,10,1,0,0.025022341,0.097855228,0.004468275,0.000446828,0,I
17,0.169291339,50,199,10,1,0,0.022341376,0.088918677,0.004468275,0.000446828,0,I
18,0.181102362,46,199,10,1,0,0.020554066,0.088918677,0.004468275,0.000446828,0,I
19,0.192913386,39,184,10,1,0,0.017426273,0.082216265,0.004468275,0.000446828,0,I
20,0.200787402,36,169,7,1,0,0.016085791,0.075513852,0.003127793,0.000446828,0,I
21,0.212598425,34,157,7,1,0,0.015192136,0.070151921,0.003127793,0.000446828,0,I
22,0.220472441,30,144,7,1,0,0.013404826,0.064343164,0.003127793,0.000446828,0,I
23,0.232283465,26,127,3,1,0,0.011617516,0.056747096,0.001340483,0.000446828,0,I
24,0.24015748,18,114,3,0,0,0.008042895,0.050938338,0.001340483,0,0,I
25,0.251968504,12,87,3,0,0,0.00536193,0.038873995,0.001340483,0,0,I
26,0.25984252,11,81,3,0,0,0.004915103,0.036193029,0.001340483,0,0,I
27,0.271653543,11,76,3,0,0,0.004915103,0.033958892,0.001340483,0,0,I
28,0.279527559,11,76,3,0,0,0.004915103,0.033958892,0.001340483,0,0,I
29,0.291338583,11,75,3,0,0,0.004915103,0.033512064,0.001340483,0,0,I
30,0.303149606,11,72,3,0,0,0.004915103,0.032171582,0.001340483,0,0,I
31,0.311023622,11,70,3,0,0,0.004915103,0.031277927,0.001340483,0,0,I
32,0.322834646,11,70,3,0,0,0.004915103,0.031277927,0.001340483,0,0,I
33,0.330708661,11,69,3,0,0,0.004915103,0.030831099,0.001340483,0,0,I
34,0.342519685,11,65,0,0,0,0.004915103,0.029043789,0,0,0,I
35,0.350393701,11,65,0,0,0,0.004915103,0.029043789,0,0,0,I
36,0.362204724,11,64,0,0,0,0.004915103,0.028596962,0,0,0,I
37,0.37007874,11,61,0,0,0,0.004915103,0.027256479,0,0,0,I
38,0.381889764,7,42,0,0,0,0.003127793,0.018766756,0,0,0,I
39,0.38976378,5,33,0,0,0,0.002234138,0.014745308,0,0,0,I
40,0.401574803,5,33,0,0,0,0.002234138,0.014745308,0,0,0,I
41,0.413385827,5,32,0,0,0,0.002234138,0.014298481,0,0,0,I
42,0.421259843,5,32,0,0,0,0.002234138,0.014298481,0,0,0,I
43,0.429133858,5,32,0,0,0,0.002234138,0.014298481,0,0,0,I
44,0.440944882,5,30,0,0,0,0.002234138,0.013404826,0,0,0,I
45,0.452755906,5,28,0,0,0,0.002234138,0.012511171,0,0,0,I
46,0.460629921,3,24,0,0,0,0.001340483,0.010723861,0,0,0,I
47,0.472440945,2,19,0,0,0,0.000893655,0.008489723,0,0,0,I
48,0.480314961,1,11,0,0,0,0.000446828,0.004915103,0,0,0,I
49,0.492125984,1,11,0,0,0,0.000446828,0.004915103,0,0,0,I
50,0.5,0,5,0,0,0,0,0.002234138,0,0,0,I
51,0.511811024,0,4,0,0,0,0,0.00178731,0,0,0,I
52,0.519685039,0,4,0,0,0,0,0.00178731,0,0,0,I
53,0.531496063,0,4,0,0,0,0,0.00178731,0,0,0,I
54,0.539370079,0,4,0,0,0,0,0.00178731,0,0,0,I
55,0.551181102,0,2,0,0,0,0,0.000893655,0,0,0,I
56,0.559055118,0,2,0,0,0,0,0.000893655,0,0,0,I
57,0.570866142,0,2,0,0,0,0,0.000893655,0,0,0,I
58,0.582677165,0,2,0,0,0,0,0.000893655,0,0,0,I
59,0.594488189,0,2,0,0,0,0,0.000893655,0,0,0,I
60,0.602362205,0,2,0,0,0,0,0.000893655,0,0,0,I
