Time,fr,V1,V2,V3,V4,V5,C_V1,C_V2,C_V3,C_V4,C_V5,Network
0,0,2885,4754,630,45,23,0.346047739,0.570229099,0.075566751,0.005397625,0.002758786,S
1,0.010845987,1773,3346,425,32,17,0.212666427,0.401343409,0.05097757,0.003838311,0.002039103,S
2,0.021691974,1121,2484,296,18,11,0.134460837,0.297948902,0.035504378,0.00215905,0.001319419,S
3,0.030368764,837,1947,204,11,7,0.100395826,0.233537244,0.024469234,0.001319419,0.000839631,S
4,0.041214751,623,1563,143,8,5,0.07472712,0.18747751,0.017152453,0.000959578,0.000599736,S
5,0.04989154,464,1281,99,6,2,0.055655512,0.153652393,0.011874775,0.000719683,0.000239894,S
6,0.060737527,353,1027,96,5,2,0.04234137,0.123185798,0.011514933,0.000599736,0.000239894,S
7,0.071583514,245,799,49,4,1,0.02938707,0.095837831,0.005877414,0.000479789,0.000119947,S
8,0.080260304,207,702,40,4,1,0.024829075,0.084202951,0.004797889,0.000479789,0.000119947,S
9,0.091106291,146,535,29,3,1,0.017512295,0.064171764,0.003478469,0.000359842,0.000119947,S
10,0.101952278,128,453,27,2,1,0.015353245,0.054336092,0.003238575,0.000239894,0.000119947,S
11,0.110629067,121,413,25,2,1,0.014513614,0.049538203,0.002998681,0.000239894,0.000119947,S
12,0.121475054,92,328,22,1,1,0.011035145,0.039342689,0.002638839,0.000119947,0.000119947,S
13,0.130151844,75,283,13,1,1,0.008996042,0.033945064,0.001559314,0.000119947,0.000119947,S
14,0.140997831,54,235,6,1,0,0.00647715,0.028187597,0.000719683,0.000119947,0,S
15,0.14967462,49,214,5,1,0,0.005877414,0.025668706,0.000599736,0.000119947,0,S
16,0.160520607,43,191,1,0,0,0.005157731,0.02290992,0.000119947,0,0,S
17,0.171366594,35,163,0,0,0,0.004198153,0.019551397,0,0,0,S
18,0.180043384,34,154,0,0,0,0.004078206,0.018471872,0,0,0,S
19,0.190889371,22,118,0,0,0,0.002638839,0.014153772,0,0,0,S
20,0.201735358,16,94,0,0,0,0.001919156,0.011275039,0,0,0,S
21,0.210412148,15,85,0,0,0,0.001799208,0.010195514,0,0,0,S
22,0.221258134,15,84,0,0,0,0.001799208,0.010075567,0,0,0,S
23,0.229934924,13,81,0,0,0,0.001559314,0.009715725,0,0,0,S
24,0.240780911,13,81,0,0,0,0.001559314,0.009715725,0,0,0,S
25,0.251626898,13,78,0,0,0,0.001559314,0.009355883,0,0,0,S
26,0.260303688,13,77,0,0,0,0.001559314,0.009235936,0,0,0,S
27,0.271149675,12,69,0,0,0,0.001439367,0.008276358,0,0,0,S
28,0.281995662,12,69,0,0,0,0.001439367,0.008276358,0,0,0,S
29,0.290672451,12,69,0,0,0,0.001439367,0.008276358,0,0,0,S
30,0.301518438,11,64,0,0,0,0.001319419,0.007676622,0,0,0,S
31,0.310195228,10,61,0,0,0,0.001199472,0.007316781,0,0,0,S
32,0.321041215,9,54,0,0,0,0.001079525,0.00647715,0,0,0,S
33,0.331887202,9,54,0,0,0,0.001079525,0.00647715,0,0,0,S
34,0.340563991,9,53,0,0,0,0.001079525,0.006357203,0,0,0,S
35,0.349240781,7,46,0,0,0,0.000839631,0.005517572,0,0,0,S
36,0.360086768,7,43,0,0,0,0.000839631,0.005157731,0,0,0,S
37,0.370932755,5,30,0,0,0,0.000599736,0.003598417,0,0,0,S
38,0.381778742,3,24,0,0,0,0.000359842,0.002878733,0,0,0,S
39,0.390455531,3,21,0,0,0,0.000359842,0.002518892,0,0,0,S
40,0.401301518,2,13,0,0,0,0.000239894,0.001559314,0,0,0,S
41,0.412147505,2,13,0,0,0,0.000239894,0.001559314,0,0,0,S
42,0.420824295,1,8,0,0,0,0.000119947,0.000959578,0,0,0,S
43,0.431670282,0,5,0,0,0,0,0.000599736,0,0,0,S
44,0.440347072,0,5,0,0,0,0,0.000599736,0,0,0,S
45,0.451193059,0,5,0,0,0,0,0.000599736,0,0,0,S
46,0.459869848,0,4,0,0,0,0,0.000479789,0,0,0,S
47,0.470715835,0,4,0,0,0,0,0.000479789,0,0,0,S
48,0.481561822,0,4,0,0,0,0,0.000479789,0,0,0,S
49,0.490238612,0,4,0,0,0,0,0.000479789,0,0,0,S
50,0.501084599,0,4,0,0,0,0,0.000479789,0,0,0,S
51,0.511930586,0,2,0,0,0,0,0.000239894,0,0,0,S
52,0.520607375,0,2,0,0,0,0,0.000239894,0,0,0,S
53,0.531453362,0,2,0,0,0,0,0.000239894,0,0,0,S
54,0.540130152,0,1,0,0,0,0,0.000119947,0,0,0,S
55,0.550976139,0,1,0,0,0,0,0.000119947,0,0,0,S
56,0.561822126,0,1,0,0,0,0,0.000119947,0,0,0,S
57,0.570498915,0,1,0,0,0,0,0.000119947,0,0,0,S
58,0.581344902,0,1,0,0,0,0,0.000119947,0,0,0,S
59,0.590021692,0,1,0,0,0,0,0.000119947,0,0,0,S
60,0.600867679,0,0,0,0,0,0,0,0,0,0,S
